channel name;channel url;subsscribers;language
@karameru_gurun_GAME;https://www.youtube.com/@karameru_gurun_GAME;21,1K ;japanese
@kirbyhal2022;https://www.youtube.com/@kirbyhal2022;203K ;japanese
@rhyme-game-channel;https://www.youtube.com/@rhyme-game-channel;20,9K ;japanese
@user-tu1wy5tv5t;https://www.youtube.com/@user-tu1wy5tv5t;20,8K ;japanese
@famitsugamelive;https://www.youtube.com/@famitsugamelive;20,7K ;japanese
@ipapagames;https://www.youtube.com/@ipapagames;20,4K ;japanese
@PokemonCoJp;https://www.youtube.com/@PokemonCoJp;2,9M ;japanese
@TheGameVideo;https://www.youtube.com/@TheGameVideo;2,97M ;japanese
@ShirakamiFubuki;https://www.youtube.com/@ShirakamiFubuki;2,25M ;japanese
@hanae0626;https://www.youtube.com/@hanae0626;2,09M ;japanese
@akagaminotomo;https://www.youtube.com/@akagaminotomo;2,07M ;japanese
@HWdou;https://www.youtube.com/@HWdou;19K ;japanese
@Oyatsu_Game;https://www.youtube.com/@Oyatsu_Game;194K ;japanese
@jin115xx;https://www.youtube.com/@jin115xx;194K ;japanese
@kentworldg;https://www.youtube.com/@kentworldg;191K ;japanese
@deisuigames;https://www.youtube.com/@deisuigames;187K ;japanese
@user-tz2ek9hc6e;https://www.youtube.com/@user-tz2ek9hc6e;184K ;japanese
@gamecenter-ozeu;https://www.youtube.com/@gamecenter-ozeu;18,9K ;japanese
@nullgame0220;https://www.youtube.com/@nullgame0220;18,7K ;japanese
@solena4760;https://www.youtube.com/@solena4760;18,6K ;japanese
@NatsumiGame;https://www.youtube.com/@NatsumiGame;18,6K ;japanese
@GameRoujin;https://www.youtube.com/@GameRoujin;18,5K ;japanese
@GameCuffs;https://www.youtube.com/@GameCuffs;18,3K ;japanese
@ryo1;https://www.youtube.com/@ryo1;17K ;japanese
@FUSAO103;https://www.youtube.com/@FUSAO103;177K ;japanese
@ponzudesu;https://www.youtube.com/@ponzudesu;17,9K ;japanese
@game-verification_channel;https://www.youtube.com/@game-verification_channel;17,8K ;japanese
@user-xb4hr6pg1j;https://www.youtube.com/@user-xb4hr6pg1j;17,6K ;japanese
@Ninjala_JP;https://www.youtube.com/@Ninjala_JP;17,5K ;japanese
@FalconeGameCellar;https://www.youtube.com/@FalconeGameCellar;17,3K ;japanese
@user-dz4dp9cc5r;https://www.youtube.com/@user-dz4dp9cc5r;168K ;japanese
@gamesampo_yosomi;https://www.youtube.com/@gamesampo_yosomi;163K ;japanese
@sunazame;https://www.youtube.com/@sunazame;163K ;japanese
@big_gaming_ch;https://www.youtube.com/@big_gaming_ch;16,8K ;japanese
@smaro-game;https://www.youtube.com/@smaro-game;16,6K ;japanese
@yukuri_niwatama;https://www.youtube.com/@yukuri_niwatama;16,6K ;japanese
@CH-rg9ye;https://www.youtube.com/@CH-rg9ye;15K ;japanese
@CHAR_SUN;https://www.youtube.com/@CHAR_SUN;154K ;japanese
@ranma7145;https://www.youtube.com/@ranma7145;153K ;japanese
@kuresen;https://www.youtube.com/@kuresen;151K ;japanese
@gameyawa;https://www.youtube.com/@gameyawa;150K ;japanese
@user-he8zi2np8l;https://www.youtube.com/@user-he8zi2np8l;15,7K ;japanese
@GCMC;https://www.youtube.com/@GCMC;15,4K ;japanese
@retrogame1000;https://www.youtube.com/@retrogame1000;15,4K ;japanese
@one111;https://www.youtube.com/@one111;147K ;japanese
@CMZGG;https://www.youtube.com/@CMZGG;141K ;japanese
@emilygamech;https://www.youtube.com/@emilygamech;14,9K ;japanese
@mukiten;https://www.youtube.com/@mukiten;14,6K ;japanese
@BokehGameStudio;https://www.youtube.com/@BokehGameStudio;14,5K ;japanese
@HashimaIoriGame;https://www.youtube.com/@HashimaIoriGame;14,1K ;japanese
@yumetsukamitai;https://www.youtube.com/@yumetsukamitai;138K ;japanese
@yamamotohiroshi_game;https://www.youtube.com/@yamamotohiroshi_game;136K ;japanese
@Hytacka;https://www.youtube.com/@Hytacka;133K ;japanese
@user-uz7sp4sf6k;https://www.youtube.com/@user-uz7sp4sf6k;132K ;japanese
@user-mm6ql8eh3s;https://www.youtube.com/@user-mm6ql8eh3s;130K ;japanese
@CHARONCH;https://www.youtube.com/@CHARONCH;13,9K ;japanese
@kyk2553;https://www.youtube.com/@kyk2553;13,9K ;japanese
@user-xd8uk7sr3l;https://www.youtube.com/@user-xd8uk7sr3l;13,8K ;japanese
@Suzukawa_Game;https://www.youtube.com/@Suzukawa_Game;13,7K ;japanese
@esufami_game;https://www.youtube.com/@esufami_game;13,6K ;japanese
@yugeza;https://www.youtube.com/@yugeza;13,4K ;japanese
@kanokogamech;https://www.youtube.com/@kanokogamech;12K ;japanese
@user-hz6gr1ie1q;https://www.youtube.com/@user-hz6gr1ie1q;12K ;japanese
@amuisgameheta;https://www.youtube.com/@amuisgameheta;12K ;japanese
@horiprocomgames;https://www.youtube.com/@horiprocomgames;124K ;japanese
@user-cw9fl8os4c;https://www.youtube.com/@user-cw9fl8os4c;122K ;japanese
@YuckeyGAMEworld;https://www.youtube.com/@YuckeyGAMEworld;121K ;japanese
@user-wg9le3sj7b;https://www.youtube.com/@user-wg9le3sj7b;12,6K ;japanese
@user-mb3lc8hm9s;https://www.youtube.com/@user-mb3lc8hm9s;12,5K ;japanese
@POPOGAMEjp;https://www.youtube.com/@POPOGAMEjp;12,5K ;japanese
@user-ue6qy3mu9i;https://www.youtube.com/@user-ue6qy3mu9i;12,2K ;japanese
