channel name;channel url;subscriber;language
@UjjwalGamer;https://www.youtube.com/@UjjwalGamer;9,98M ;hindi
@PPrankGaming;https://www.youtube.com/@PPrankGaming;90,6K;hindi
@IamBoltGaming;https://www.youtube.com/@IamBoltGaming;906K;hindi
@BlackClueGaming;https://www.youtube.com/@BlackClueGaming;929K;hindi
@gaming;https://www.youtube.com/@gaming;93,7M ;hindi
@GamingEngineLive;https://www.youtube.com/@GamingEngineLive;93,7K;hindi
@haryanvibhajan4654;https://www.youtube.com/@haryanvibhajan4654;95,4K;hindi
@Gaming640;https://www.youtube.com/@Gaming640;95,7K;hindi
@GamingAura;https://www.youtube.com/@GamingAura;958K;hindi
@VARMAJI_GAMING;https://www.youtube.com/@VARMAJI_GAMING;977K;hindi
@rizagaming2618;https://www.youtube.com/@rizagaming2618;97K;hindi
